rank,title,url,artists,thumbnail,release_date,last_week_position,weeks_on_chart,weekly_views
11,Deewaniyat,https://www.youtube.com/watch?v=Qo4IOTAbGAM,Vishal Mishra,https://lh3.googleusercontent.com/sRHMm6JYF7_XRzGBAQmDH3VtPhMDkVH9ajTRGU22WC1MhE_Xa19PFB-KMT1Toc-PZCuXJP-F2JwK3T8S=w180-h180-l90-rj,"Aug 28, 2025",11,10,"20,834,890"
12,Gabriela,https://www.youtube.com/watch?v=CjnB56tSCQI,KATSEYE,https://lh3.googleusercontent.com/Boy9TIypluE9O8sPJO_lM_ldzEi22070TzsJDoB4TkhXUzDsneRqhjWTRVtBSrDHwuw4afG6GdAd46LHSQ=w180-h180-l90-rj,"Jun 20, 2025",13,20,"18,745,990"
13,Sahiba,https://www.youtube.com/watch?v=n2dVFdqMYGA,Aditya Rikhari,https://lh3.googleusercontent.com/Ul_rEl0e18WiBv-HIKRla87l0-K8uNSrKmFIwR6N0206bAAF27juOMDfBydQK1UOjRJ1SCxNuCPd2l56=w180-h180-l90-rj,"Dec 19, 2023",12,17,"18,278,140"
14,SPAGHETTI (feat. j-hope),https://www.youtube.com/watch?v=TvVtYaqCni8,LE SSERAFIM,https://lh3.googleusercontent.com/xK6zmSTXLvl7CErbpTUk2j_KcN8S06uwJr0XWZDd8UgHNq5nEUwgI5Xk2lviE-mrf1uVeVtNRmXD58js=w180-h180-l90-rj,"Oct 24, 2025",10,2,"17,520,677"
15,Sundari,https://www.youtube.com/watch?v=WpBn9w-Js_c,"Sanju Rathod, G-Spark",https://lh3.googleusercontent.com/CcdYFYzUeubhtwIFoWNnij50GZXvTNwvAsYQ8X6bgvrgFam30KPSmP3H6wNUTzz99UfxbQst4K5pUzuqqQ=w180-h180-l90-rj,"Sep 10, 2025",16,7,"17,209,893"
16,Ordinary,https://www.youtube.com/watch?v=u2ah9tWTkmk,Alex Warren,https://lh3.googleusercontent.com/tB_LIQW9A3UqBMgiACcd3znkQqJiLkVxr3riaH7JiTL6rhTpIfLEbTz2S_9y5k1vGkjfvl8illYpPbA=w180-h180-l90-rj,"Sep 26, 2024",15,32,"16,655,210"
17,Posso Até Não Te Dar Flores (feat. DJ DAVI DOGDOG),https://www.youtube.com/watch?v=ztC8bM-EYOg,"DJ Japa NK, MC MENO K, MC Ryan SP, MC Jacaré",https://lh3.googleusercontent.com/mRPZYtHFNkEXAFBgAlR7gKoxmx9YhsMTvHl8zCDC0lPdp-nmaqI0EtlKQ_RhwMCY4xRnSoKm2cXxNd5B=w180-h180-l90-rj,"Sep 4, 2025",21,3,"16,083,941"
18,El Mayor de los Ranas,https://www.youtube.com/watch?v=4Ez2wJnlwag,"Victor Valverde, Jr Torres",https://lh3.googleusercontent.com/te1qJ2RUESuGe-8kIiJUSzHaXi2Rr1hYnM4aUwglQad2L-CNM1TykNblBmT3ngf2SenU5Sc4nLmbpgeqZw=w180-h180-l90-rj,"Sep 3, 2024",17,42,"15,331,303"
19,뛰어,https://www.youtube.com/watch?v=CgCVZdcKcqY,BLACKPINK,https://lh3.googleusercontent.com/9h5EMc3LktccxFy-3bznozFCwYSU1YnU0agJZssvGqDj3UDrtFC7FgPHjDrtUG3dGAP45uEPBxDYLBg=w180-h180-l90-rj,"Jul 11, 2025",24,17,"14,000,246"
20,Oorum Blood,https://www.youtube.com/watch?v=4Bsc2uI_LsM,"Sai Abhyankkar, Paal Dabba, Bebhumika, Deepthi Suresh",https://lh3.googleusercontent.com/neWzCg5FpfvHVBIMVIxpSLjPYe_Eoj8-NYiLkT5tmO4ENVKcJGQrftRIVbBujqsP8p8ENqZZnuQabNv8=w180-h180-l90-rj,"Aug 28, 2025",18,10,"13,587,402"
21,Saiyaara Reprise - Female,https://www.youtube.com/watch?v=-lVzdxgVNeg,"Tanishk Bagchi, Faheem Abdullah, Arslan Nizami, Shreya Ghoshal, Irshad Kamil",https://lh3.googleusercontent.com/UWd3mZFFe4mSkQp7tkrD4TscClXmIbtVYMTbVPLkm25US4oPw0UIS8Dfa9WOB6SOxbQk4Rypvgwx_DzK=w180-h180-l90-rj,"Jul 4, 2025",19,16,"13,567,673"
22,Shaky,https://www.youtube.com/watch?v=sUf2PtEZris,"Sanju Rathod, G-Spark",https://lh3.googleusercontent.com/j6r-vjZ4tY2AlScNLSCshTdvZ4mGxga2VlTRCupta2SbEjP5WISoN0Ef0Xqf0OoN-odlnrAA1ia_l4M=w180-h180-l90-rj,"Apr 21, 2025",20,25,"13,429,919"
23,TODO KE VER,https://www.youtube.com/watch?v=FQmNXNh8w2k,"Jere Klein, Katteyes, Mateo on the Beatz",https://lh3.googleusercontent.com/Ustsc3nouhohc5x-wA0VCqz-dksknqdmYDhH_0ofjr1pZJS9kk9kI3fgYsEX3eyoJW3VuONFf6lzBm0=w180-h180-l90-rj,"Aug 13, 2025",22,12,"13,365,953"
24,Unstoppable,https://www.youtube.com/watch?v=cfhwSpSDA9c,Sia,https://i.ytimg.com/vi/cfhwSpSDA9c/default.jpg,"Jan 21, 2016",-,54,"13,340,912"
25,Laal Pari,https://www.youtube.com/watch?v=KGn-erOG-Bs,"Yo Yo Honey Singh, Simar Kaur",https://lh3.googleusercontent.com/IlB_k-DBSPYz6lYVHNMn_MLKCxZk09Le4XopHv9SSyw9HSRiyO25W5nrbcBW9c8dohWufRlg7e5MG_haMg=w180-h180-l90-rj,"May 3, 2025",28,27,"13,149,918"
26,Bol Kaffara Kya Hoga,https://www.youtube.com/watch?v=r_lxE7kF0Fo,"DJ Chetas, Neha Kakkar, Farhan Sabri",https://lh3.googleusercontent.com/lWmur7nnXCDPmnFe9FiyvYuoZRjZFfr_n4TtKJUzukIndppCZxbOYjKD08-mKeKx-ZZdgGo8m7Ddv0TT=w180-h180-l90-rj,"Sep 25, 2021",29,7,"13,060,867"
27,For A Reason,https://www.youtube.com/watch?v=-YlmnPh-6rE,"Karan Aujla, Ikky",https://lh3.googleusercontent.com/BzOBERVwxHIkVDpePVN8mnT0MID3cySSHcZvY84FHusBL78dxkdpWBBk8o4O5e8BaenNlHKlI9fWb_Rccw=w180-h180-l90-rj,"Aug 22, 2025",25,11,"12,895,162"
